canonical_smiles,target_label
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]1COC(=O)N1,0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN(C)C,0
C=CC(=O)N1CCC(Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)CC1,0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(C)CC1,0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2
COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,0
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN2CCOCC2CO1,0
CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0
C#Cc1cccc(Nc2ncnc3ccc(OCCCCCC(=O)NO)cc23)c1,0
OCCn1cc(-c2cc(F)c3ncc(Cc4ccc5ncccc5c4)n3c2)cn1,1
C[C@@H](c1ccc2ncccc2c1)c1nnc2ccc(-c3ccc(C#N)cc3)nn12,1
C/C(=N\N(C)C(N)=O)c1ccc2ncc(Cc3c(F)cc4ncccc4c3F)n2n1,1
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCCN1CCOCC1,0
C=CC(=O)N1CCC(Cn2nc(C(=O)Nc3nc4cc(Cl)ccc4o3)c3c(N)ncnc32)CC1,0
CC(C)Nc1ccc(Oc2cc(O)cc(O)c2-c2cc(C(=O)NC3CCN(C)CC3)no2)cc1,2
CN(C)C/C=C/C(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccccc4)nc32)c1,0
C/C(=N\OCC(=O)O)c1ccc2nnc(C(C)c3c(F)cc4ncccc4c3F)n2n1,1
CN1CCC(NC(=O)c2cc(-c3c(O)cc(O)cc3Oc3ccc(N(C)C)cc3)on2)CC1,2
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)oc3ncnc(NCCO)c23)c1,0
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCC(F)(F)C3)ns2)n1.Cl,2
Cl.[2H]C([2H])(c1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)N1CCC(F)(F)C1,2
CS(=O)(=O)Nc1ccc2ccc3ncc(-c4ccc(Cl)cc4)cc3c(=O)c2c1,1
COc1ccc2c(OCc3nnc4sc(-c5ccc[nH]5)nn34)ccnc2c1,1
COc1cc2ncnc(NCc3ccccc3)c2cc1O,0
CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc5nonc45)c3c2)CC1,1
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,0
CN(C)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,0
O=C(Nc1ccccn1)Nc1cc(-c2cccnc2)ccc1OC(F)(F)F,0
O=C(O)CN1C(=O)CCc2cc(-c3ccc4nnc(Cc5ccc6ncccc6c5)n4n3)ccc21,1
CCC(C)n1/c(=N/C(=O)c2ccnc(-c3cnn(C)c3)c2)[nH]c2ccccc21,0
CNC(=O)c1ccc(-c2ccc3nnc(COc4ccnc5cc(OC)ccc45)n3n2)cc1,1
CN(C)c1ccc(/C=N/NC(=O)Cn2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)cc1,0
CCN(Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)C(C)(C)CO.Cl,2
Brc1cccc(Nc2ncnc3cccnc23)c1,0
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,0
CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,0
CCN(Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)C(C)(C)CO.Cl,2
COc1ccccc1C(=O)NCc1ccc(-c2nn(C3CC4CC4C3)c3ncnc(N)c23)cc1,0
C=CC(=O)N1CC[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,0
CN(Cc1ccccc1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,1
Cc1cc(=O)n2nc(SCc3ccc(C(C)(C)C)cc3)nc2[nH]1,2
Cn1cc(-c2ccc3nnc(Sc4ccc5ncc(NC6CCNCC6)cc5c4)n3c2)cn1,1
Fc1cc(-c2cscn2)cn2c(C(F)(F)c3ccc4ncccc4c3)nnc12,1
CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,0
Clc1cc(Nc2ncnc3[nH]nc(OCCCN4CCOCC4)c23)ccc1OCc1ccccn1,0
COc1cc2c(Nc3cccc(Cl)c3C)ncnc2cc1O[C@@H]1CO[C@@H]2[C@H]1OC[C@H]2F,0
C/C(=N\n1cc(O)[nH]c1=O)c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1,1
N#Cc1ccc(-c2cnc3nnc(Cc4c[nH]c5ncccc45)n3n2)cc1,1
CCOC(=O)CCCn1c(=O)oc2cc3ncnc(Nc4ccc(O)cc4)c3cc21,0
CN1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,0
COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC.Cl,0
Cc1cc(=O)n2nc(SCc3ccc(C(C)(C)C)cc3)nc2[nH]1,2
